state,district,date,ethnicity,population,total_population_in_district,population_ratio_in_district
Sarawak,Telang Usan,2023,bumi_other,16900,17400,97.13
Sarawak,Telang Usan,2023,bumi_malay,200,17400,1.15
Sarawak,Telang Usan,2023,chinese,200,17400,1.15
Sarawak,Telang Usan,2023,other_noncitizen,100,17400,0.57
Sarawak,Telang Usan,2023,indian,0,17400,0.0
Sarawak,Telang Usan,2023,other_citizen,0,17400,0.0
Sarawak,Tebedu,2023,bumi_other,23900,25400,94.09
Sarawak,Tebedu,2023,bumi_malay,600,25400,2.36
Sarawak,Tebedu,2023,chinese,500,25400,1.97
Sarawak,Tebedu,2023,other_noncitizen,400,25400,1.57
Sarawak,Tebedu,2023,indian,0,25400,0.0
Sarawak,Tebedu,2023,other_citizen,0,25400,0.0
Sarawak,Tatau,2023,bumi_other,26100,32200,81.06
Sarawak,Tatau,2023,other_noncitizen,3100,32200,9.63
Sarawak,Tatau,2023,bumi_malay,1400,32200,4.35
Sarawak,Tatau,2023,chinese,1400,32200,4.35
Sarawak,Tatau,2023,other_citizen,200,32200,0.62
Sarawak,Tatau,2023,indian,0,32200,0.0
Sarawak,Tanjung Manis,2023,bumi_other,6400,7900,81.01
Sarawak,Tanjung Manis,2023,bumi_malay,900,7900,11.39
Sarawak,Tanjung Manis,2023,other_noncitizen,500,7900,6.33
Sarawak,Tanjung Manis,2023,chinese,100,7900,1.27
Sarawak,Tanjung Manis,2023,indian,0,7900,0.0
Sarawak,Tanjung Manis,2023,other_citizen,0,7900,0.0
Sarawak,Subis,2023,bumi_other,34000,56000,60.71
Sarawak,Subis,2023,other_noncitizen,12900,56000,23.04
Sarawak,Subis,2023,bumi_malay,6700,56000,11.96
Sarawak,Subis,2023,chinese,2000,56000,3.57
Sarawak,Subis,2023,other_citizen,400,56000,0.71
Sarawak,Subis,2023,indian,0,56000,0.0
Sarawak,Sri Aman,2023,bumi_other,38500,61300,62.81
Sarawak,Sri Aman,2023,bumi_malay,14300,61300,23.33
Sarawak,Sri Aman,2023,chinese,7200,61300,11.75
Sarawak,Sri Aman,2023,other_noncitizen,1200,61300,1.96
Sarawak,Sri Aman,2023,other_citizen,100,61300,0.16
Sarawak,Sri Aman,2023,indian,0,61300,0.0
Sarawak,Song,2023,bumi_other,9200,10200,90.2
