state,district,date,ethnicity,population
Penang,Timur Laut,2020,chinese,324900
Penang,Timur Laut,2020,bumi_malay,118300
Penang,Timur Laut,2020,other_noncitizen,52900
Penang,Timur Laut,2020,indian,51500
Penang,Timur Laut,2020,other_citizen,5300
Penang,Timur Laut,2020,bumi_other,3600
Penang,Seberang Perai Utara,2020,bumi_malay,202200
Penang,Seberang Perai Utara,2020,chinese,95600
Penang,Seberang Perai Utara,2020,indian,22600
Penang,Seberang Perai Utara,2020,other_noncitizen,16400
Penang,Seberang Perai Utara,2020,bumi_other,1300
Penang,Seberang Perai Utara,2020,other_citizen,1100
Penang,Seberang Perai Tengah,2020,bumi_malay,185300
Penang,Seberang Perai Tengah,2020,chinese,150600
Penang,Seberang Perai Tengah,2020,other_noncitizen,45400
Penang,Seberang Perai Tengah,2020,indian,38000
Penang,Seberang Perai Tengah,2020,other_citizen,2200
Penang,Seberang Perai Tengah,2020,bumi_other,1500
Penang,Seberang Perai Selatan,2020,bumi_malay,76200
Penang,Seberang Perai Selatan,2020,chinese,65300
Penang,Seberang Perai Selatan,2020,indian,30100
Penang,Seberang Perai Selatan,2020,other_noncitizen,11500
Penang,Seberang Perai Selatan,2020,other_citizen,500
Penang,Seberang Perai Selatan,2020,bumi_other,400
Penang,Barat Daya,2020,bumi_malay,125900
Penang,Barat Daya,2020,chinese,81900
Penang,Barat Daya,2020,other_noncitizen,14300
Penang,Barat Daya,2020,indian,13300
Penang,Barat Daya,2020,bumi_other,1300
Penang,Barat Daya,2020,other_citizen,1100
