state,district,date,ethnicity,population
Terengganu,Setiu,2024,bumi_malay,61800
Terengganu,Setiu,2024,other_noncitizen,2300
Terengganu,Setiu,2024,bumi_other,100
Terengganu,Setiu,2024,chinese,100
Terengganu,Setiu,2024,other_citizen,100
Terengganu,Setiu,2024,indian,0
Terengganu,Marang,2024,bumi_malay,122000
Terengganu,Marang,2024,other_noncitizen,2800
Terengganu,Marang,2024,chinese,1500
Terengganu,Marang,2024,bumi_other,200
Terengganu,Marang,2024,other_citizen,200
Terengganu,Marang,2024,indian,0
Terengganu,Kuala Terengganu,2024,bumi_malay,231700
Terengganu,Kuala Terengganu,2024,chinese,7000
Terengganu,Kuala Terengganu,2024,other_noncitizen,5400
Terengganu,Kuala Terengganu,2024,bumi_other,500
Terengganu,Kuala Terengganu,2024,indian,500
Terengganu,Kuala Terengganu,2024,other_citizen,300
Terengganu,Kuala Nerus,2024,bumi_malay,149800
Terengganu,Kuala Nerus,2024,other_noncitizen,3100
Terengganu,Kuala Nerus,2024,chinese,1800
Terengganu,Kuala Nerus,2024,indian,500
Terengganu,Kuala Nerus,2024,bumi_other,400
Terengganu,Kuala Nerus,2024,other_citizen,200
Terengganu,Kemaman,2024,bumi_malay,209600
Terengganu,Kemaman,2024,other_noncitizen,12400
Terengganu,Kemaman,2024,chinese,7700
Terengganu,Kemaman,2024,bumi_other,1000
Terengganu,Kemaman,2024,indian,700
Terengganu,Kemaman,2024,other_citizen,300
Terengganu,Hulu Terengganu,2024,bumi_malay,68700
Terengganu,Hulu Terengganu,2024,other_noncitizen,4800
Terengganu,Hulu Terengganu,2024,bumi_other,700
Terengganu,Hulu Terengganu,2024,other_citizen,300
Terengganu,Hulu Terengganu,2024,chinese,100
Terengganu,Hulu Terengganu,2024,indian,0
Terengganu,Dungun,2024,bumi_malay,160000
Terengganu,Dungun,2024,other_noncitizen,4000
Terengganu,Dungun,2024,chinese,3300
Terengganu,Dungun,2024,bumi_other,300
Terengganu,Dungun,2024,other_citizen,300
Terengganu,Dungun,2024,indian,100
Terengganu,Besut,2024,bumi_malay,158700
Terengganu,Besut,2024,other_noncitizen,4600
Terengganu,Besut,2024,chinese,1300
Terengganu,Besut,2024,other_citizen,500
Terengganu,Besut,2024,bumi_other,300
Terengganu,Besut,2024,indian,100
