state,district,date,ethnicity,population
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022,bumi_malay,837200
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022,chinese,730700
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022,other_noncitizen,183600
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022,indian,177000
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022,bumi_other,19900
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022,other_citizen,12700
