state,district,date,ethnicity,population,total_population_in_district,population_ratio_in_district
Kedah,Yan,2022,bumi_malay,70400,74000,95.14
Kedah,Yan,2022,chinese,2700,74000,3.65
Kedah,Yan,2022,other_noncitizen,600,74000,0.81
Kedah,Yan,2022,bumi_other,100,74000,0.14
Kedah,Yan,2022,indian,100,74000,0.14
Kedah,Yan,2022,other_citizen,100,74000,0.14
Kedah,Sik,2022,bumi_malay,62600,68700,91.12
Kedah,Sik,2022,other_citizen,3400,68700,4.95
Kedah,Sik,2022,other_noncitizen,2000,68700,2.91
Kedah,Sik,2022,chinese,500,68700,0.73
Kedah,Sik,2022,bumi_other,100,68700,0.15
Kedah,Sik,2022,indian,100,68700,0.15
Kedah,Pokok Sena,2022,bumi_malay,43800,50200,87.25
Kedah,Pokok Sena,2022,other_noncitizen,2700,50200,5.38
Kedah,Pokok Sena,2022,chinese,2400,50200,4.78
Kedah,Pokok Sena,2022,indian,800,50200,1.59
Kedah,Pokok Sena,2022,other_citizen,400,50200,0.8
Kedah,Pokok Sena,2022,bumi_other,100,50200,0.2
Kedah,Pendang,2022,bumi_malay,88900,99700,89.17
Kedah,Pendang,2022,other_citizen,5700,99700,5.72
Kedah,Pendang,2022,chinese,2800,99700,2.81
Kedah,Pendang,2022,other_noncitizen,1800,99700,1.81
Kedah,Pendang,2022,indian,400,99700,0.4
Kedah,Pendang,2022,bumi_other,100,99700,0.1
Kedah,Padang Terap,2022,bumi_malay,58200,66600,87.39
Kedah,Padang Terap,2022,other_citizen,4600,66600,6.91
Kedah,Padang Terap,2022,other_noncitizen,3200,66600,4.8
Kedah,Padang Terap,2022,chinese,500,66600,0.75
Kedah,Padang Terap,2022,bumi_other,100,66600,0.15
Kedah,Padang Terap,2022,indian,0,66600,0.0
Kedah,Langkawi,2022,bumi_malay,84800,96300,88.06
Kedah,Langkawi,2022,chinese,4600,96300,4.78
Kedah,Langkawi,2022,other_noncitizen,3900,96300,4.05
Kedah,Langkawi,2022,indian,1700,96300,1.77
Kedah,Langkawi,2022,other_citizen,1000,96300,1.04
Kedah,Langkawi,2022,bumi_other,300,96300,0.31
Kedah,Kulim,2022,bumi_malay,225600,341300,66.1
Kedah,Kulim,2022,indian,47900,341300,14.03
Kedah,Kulim,2022,chinese,47100,341300,13.8
Kedah,Kulim,2022,other_noncitizen,18500,341300,5.42
Kedah,Kulim,2022,other_citizen,1500,341300,0.44
Kedah,Kulim,2022,bumi_other,700,341300,0.21
Kedah,Kubang Pasu,2022,bumi_malay,219200,249700,87.79
Kedah,Kubang Pasu,2022,chinese,14900,249700,5.97
Kedah,Kubang Pasu,2022,other_noncitizen,6600,249700,2.64
Kedah,Kubang Pasu,2022,indian,4900,249700,1.96
Kedah,Kubang Pasu,2022,other_citizen,3300,249700,1.32
Kedah,Kubang Pasu,2022,bumi_other,800,249700,0.32
Kedah,Kuala Muda,2022,bumi_malay,372400,550500,67.65
Kedah,Kuala Muda,2022,chinese,82700,550500,15.02
Kedah,Kuala Muda,2022,indian,58300,550500,10.59
Kedah,Kuala Muda,2022,other_noncitizen,33500,550500,6.09
Kedah,Kuala Muda,2022,other_citizen,2200,550500,0.4
Kedah,Kuala Muda,2022,bumi_other,1400,550500,0.25
Kedah,Kota Setar,2022,bumi_malay,272400,376800,72.29
Kedah,Kota Setar,2022,chinese,83100,376800,22.05
Kedah,Kota Setar,2022,other_noncitizen,12300,376800,3.26
Kedah,Kota Setar,2022,indian,7300,376800,1.94
Kedah,Kota Setar,2022,other_citizen,1200,376800,0.32
Kedah,Kota Setar,2022,bumi_other,500,376800,0.13
Kedah,Bandar Baharu,2022,bumi_malay,36500,44600,81.84
Kedah,Bandar Baharu,2022,chinese,4100,44600,9.19
Kedah,Bandar Baharu,2022,indian,2600,44600,5.83
Kedah,Bandar Baharu,2022,other_noncitizen,1200,44600,2.69
Kedah,Bandar Baharu,2022,bumi_other,100,44600,0.22
Kedah,Bandar Baharu,2022,other_citizen,100,44600,0.22
Kedah,Baling,2022,bumi_malay,130699,144999,90.14
Kedah,Baling,2022,indian,4500,144999,3.1
Kedah,Baling,2022,chinese,4200,144999,2.9
Kedah,Baling,2022,other_noncitizen,2800,144999,1.93
Kedah,Baling,2022,other_citizen,2300,144999,1.59
Kedah,Baling,2022,bumi_other,500,144999,0.34
