state,district,date,ethnicity,population
Sabah,Kota Kinabalu,2021,bumi_other,265200
Sabah,Sandakan,2021,bumi_other,192500
Sabah,Tawau,2021,bumi_other,187400
Sabah,Sandakan,2021,other_noncitizen,131100
Sabah,Keningau,2021,bumi_other,121000
Sabah,Lahad Datu,2021,bumi_other,120500
Sabah,Tuaran,2021,bumi_other,111600
Sabah,Tawau,2021,other_noncitizen,108600
Sabah,Kota Belud,2021,bumi_other,99400
Sabah,Semporna,2021,bumi_other,97900
Sabah,Penampang,2021,bumi_other,97100
Sabah,Papar,2021,bumi_other,96100
Sabah,Kinabatangan,2021,other_noncitizen,92200
Sabah,Lahad Datu,2021,other_noncitizen,85400
Sabah,Kota Kinabalu,2021,other_noncitizen,79100
Sabah,Kota Kinabalu,2021,chinese,77100
Sabah,Ranau,2021,bumi_other,72400
Sabah,Kudat,2021,bumi_other,68600
Sabah,Kota Kinabalu,2021,bumi_malay,68500
Sabah,Kota Marudu,2021,bumi_other,64099
Sabah,Semporna,2021,other_noncitizen,56500
Sabah,Sandakan,2021,chinese,52800
Sabah,Sandakan,2021,bumi_malay,49300
Sabah,Beaufort,2021,bumi_other,47600
Sabah,Putatan,2021,bumi_other,45000
Sabah,Tenom,2021,bumi_other,43500
Sabah,Beluran,2021,bumi_other,41200
Sabah,Papar,2021,bumi_malay,37200
Sabah,Tawau,2021,chinese,37000
Sabah,Kinabatangan,2021,bumi_other,36200
Sabah,Beluran,2021,other_noncitizen,36000
Sabah,Pitas,2021,bumi_other,34100
Sabah,Penampang,2021,chinese,33200
Sabah,Kalabakan,2021,other_noncitizen,32600
Sabah,Kunak,2021,other_noncitizen,32299
Sabah,Kunak,2021,bumi_other,30100
Sabah,Tambunan,2021,bumi_other,30000
Sabah,Tawau,2021,bumi_malay,30000
Sabah,Nabawan,2021,bumi_other,27400
Sabah,Tongod,2021,bumi_other,25900
Sabah,Sipitang,2021,bumi_other,22400
Sabah,Penampang,2021,other_noncitizen,20000
Sabah,Beaufort,2021,bumi_malay,17700
Sabah,Kalabakan,2021,bumi_other,16900
Sabah,Keningau,2021,other_noncitizen,16700
Sabah,Telupid,2021,bumi_other,16600
Sabah,Tongod,2021,other_noncitizen,15600
Sabah,Kuala Penyu,2021,bumi_other,15100
Sabah,Tuaran,2021,bumi_malay,13700
Sabah,Putatan,2021,bumi_malay,13500
Sabah,Penampang,2021,bumi_malay,12900
Sabah,Lahad Datu,2021,bumi_malay,12100
Sabah,Telupid,2021,other_noncitizen,11700
Sabah,Papar,2021,other_noncitizen,11300
Sabah,Sipitang,2021,bumi_malay,10900
Sabah,Tawau,2021,other_citizen,10300
Sabah,Lahad Datu,2021,chinese,10100
Sabah,Keningau,2021,chinese,7200
Sabah,Kuala Penyu,2021,bumi_malay,7100
Sabah,Ranau,2021,bumi_malay,7100
Sabah,Tuaran,2021,other_noncitizen,7000
Sabah,Kudat,2021,other_noncitizen,6900
Sabah,Beaufort,2021,other_noncitizen,6400
Sabah,Ranau,2021,other_noncitizen,6000
Sabah,Sandakan,2021,other_citizen,5600
Sabah,Papar,2021,chinese,5500
Sabah,Kudat,2021,bumi_malay,5500
Sabah,Putatan,2021,other_noncitizen,5400
Sabah,Keningau,2021,bumi_malay,4900
Sabah,Lahad Datu,2021,other_citizen,4800
Sabah,Kota Belud,2021,other_noncitizen,4700
Sabah,Kudat,2021,chinese,4600
Sabah,Kota Kinabalu,2021,other_citizen,4500
Sabah,Beaufort,2021,chinese,4200
Sabah,Putatan,2021,chinese,3900
Sabah,Semporna,2021,bumi_malay,3900
Sabah,Tenom,2021,bumi_malay,3900
Sabah,Kinabatangan,2021,bumi_malay,3500
Sabah,Sipitang,2021,other_noncitizen,3500
Sabah,Kinabatangan,2021,other_citizen,3100
Sabah,Tuaran,2021,chinese,3000
Sabah,Kota Marudu,2021,other_noncitizen,2800
Sabah,Beluran,2021,bumi_malay,2400
Sabah,Tenom,2021,other_noncitizen,2300
Sabah,Kunak,2021,other_citizen,2100
Sabah,Kota Belud,2021,bumi_malay,2100
Sabah,Kota Kinabalu,2021,indian,2000
Sabah,Pitas,2021,other_noncitizen,1900
Sabah,Kunak,2021,bumi_malay,1800
Sabah,Penampang,2021,other_citizen,1800
Sabah,Kota Belud,2021,chinese,1800
Sabah,Tenom,2021,chinese,1700
Sabah,Kota Marudu,2021,bumi_malay,1700
Sabah,Kota Marudu,2021,chinese,1400
Sabah,Tambunan,2021,other_noncitizen,1300
Sabah,Keningau,2021,other_citizen,1300
Sabah,Semporna,2021,other_citizen,1100
Sabah,Putatan,2021,other_citizen,1100
Sabah,Papar,2021,other_citizen,1000
Sabah,Semporna,2021,chinese,1000
Sabah,Tuaran,2021,other_citizen,1000
Sabah,Nabawan,2021,other_noncitizen,1000
Sabah,Kuala Penyu,2021,other_noncitizen,900
Sabah,Sandakan,2021,indian,800
Sabah,Pitas,2021,bumi_malay,700
Sabah,Ranau,2021,chinese,700
Sabah,Telupid,2021,other_citizen,600
Sabah,Sipitang,2021,chinese,600
Sabah,Tawau,2021,indian,600
Sabah,Kunak,2021,chinese,600
Sabah,Beaufort,2021,other_citizen,500
Sabah,Penampang,2021,indian,500
Sabah,Kalabakan,2021,bumi_malay,500
Sabah,Beluran,2021,other_citizen,500
Sabah,Telupid,2021,bumi_malay,400
Sabah,Tongod,2021,bumi_malay,400
Sabah,Lahad Datu,2021,indian,400
Sabah,Kota Belud,2021,other_citizen,400
Sabah,Putatan,2021,indian,300
Sabah,Kota Marudu,2021,other_citizen,300
Sabah,Kudat,2021,other_citizen,300
Sabah,Pitas,2021,chinese,300
Sabah,Kinabatangan,2021,chinese,300
Sabah,Beluran,2021,chinese,200
Sabah,Tuaran,2021,indian,200
Sabah,Tenom,2021,other_citizen,200
Sabah,Sipitang,2021,other_citizen,200
Sabah,Tongod,2021,chinese,200
Sabah,Ranau,2021,other_citizen,200
Sabah,Kalabakan,2021,other_citizen,200
Sabah,Papar,2021,indian,200
Sabah,Tambunan,2021,chinese,200
Sabah,Kuala Penyu,2021,other_citizen,200
Sabah,Kuala Penyu,2021,chinese,200
Sabah,Tambunan,2021,bumi_malay,200
Sabah,Kalabakan,2021,chinese,100
Sabah,Keningau,2021,indian,100
Sabah,Beaufort,2021,indian,100
Sabah,Tongod,2021,other_citizen,100
Sabah,Telupid,2021,chinese,100
Sabah,Kota Belud,2021,indian,100
Sabah,Kinabatangan,2021,indian,100
Sabah,Kunak,2021,indian,100
Sabah,Nabawan,2021,chinese,100
Sabah,Nabawan,2021,bumi_malay,100
Sabah,Pitas,2021,other_citizen,100
Sabah,Telupid,2021,indian,100
Sabah,Semporna,2021,indian,100
Sabah,Beluran,2021,indian,0
Sabah,Kalabakan,2021,indian,0
Sabah,Kudat,2021,indian,0
Sabah,Kota Marudu,2021,indian,0
Sabah,Nabawan,2021,other_citizen,0
Sabah,Kuala Penyu,2021,indian,0
Sabah,Pitas,2021,indian,0
Sabah,Nabawan,2021,indian,0
Sabah,Ranau,2021,indian,0
Sabah,Sipitang,2021,indian,0
Sabah,Tambunan,2021,indian,0
Sabah,Tambunan,2021,other_citizen,0
Sabah,Tongod,2021,indian,0
Sabah,Tenom,2021,indian,0
